Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,8,6,9,Some Random Commen with Id 0
1,1,8,10,2,Some Random Commen with Id 1
2,1,8,81,1,Some Random Commen with Id 2
3,1,8,69,9,Some Random Commen with Id 3
4,1,8,142,5,Some Random Commen with Id 4
5,1,8,149,7,Some Random Commen with Id 5
6,1,8,109,9,Some Random Commen with Id 6
7,2,1,171,1,Some Random Commen with Id 7
8,2,1,115,4,Some Random Commen with Id 8
9,2,1,170,9,Some Random Commen with Id 9
10,2,1,63,6,Some Random Commen with Id 10
11,2,1,189,4,Some Random Commen with Id 11
12,2,1,39,1,Some Random Commen with Id 12
13,3,4,167,0,Some Random Commen with Id 13
14,3,4,102,7,Some Random Commen with Id 14
15,4,8,157,2,Some Random Commen with Id 15
16,5,0,13,5,Some Random Commen with Id 16
17,5,0,88,5,Some Random Commen with Id 17
18,6,2,86,5,Some Random Commen with Id 18
19,6,2,166,0,Some Random Commen with Id 19
20,7,7,89,9,Some Random Commen with Id 20
21,7,7,63,5,Some Random Commen with Id 21
22,7,7,43,7,Some Random Commen with Id 22
23,8,3,177,6,Some Random Commen with Id 23
24,8,3,50,4,Some Random Commen with Id 24
25,8,3,190,5,Some Random Commen with Id 25
26,8,3,193,6,Some Random Commen with Id 26
27,8,3,97,0,Some Random Commen with Id 27
28,8,3,199,0,Some Random Commen with Id 28
29,8,3,148,2,Some Random Commen with Id 29
30,8,3,11,7,Some Random Commen with Id 30
31,10,8,43,4,Some Random Commen with Id 31
32,10,8,89,5,Some Random Commen with Id 32
33,10,8,98,8,Some Random Commen with Id 33
34,10,8,196,2,Some Random Commen with Id 34
35,10,8,27,4,Some Random Commen with Id 35
36,10,8,14,4,Some Random Commen with Id 36
37,10,8,13,7,Some Random Commen with Id 37
38,10,8,188,5,Some Random Commen with Id 38
39,10,8,145,4,Some Random Commen with Id 39
40,12,3,56,8,Some Random Commen with Id 40
41,12,3,47,5,Some Random Commen with Id 41
42,12,3,106,1,Some Random Commen with Id 42
43,13,4,122,4,Some Random Commen with Id 43
44,13,4,149,3,Some Random Commen with Id 44
45,13,4,178,8,Some Random Commen with Id 45
46,13,4,90,7,Some Random Commen with Id 46
47,13,4,163,0,Some Random Commen with Id 47
48,13,4,67,3,Some Random Commen with Id 48
49,13,4,48,5,Some Random Commen with Id 49
50,13,4,151,3,Some Random Commen with Id 50
51,14,4,115,6,Some Random Commen with Id 51
52,14,4,67,3,Some Random Commen with Id 52
53,14,4,57,8,Some Random Commen with Id 53
54,14,4,165,6,Some Random Commen with Id 54
55,14,4,163,1,Some Random Commen with Id 55
56,14,4,121,7,Some Random Commen with Id 56
57,14,4,197,1,Some Random Commen with Id 57
58,15,7,169,1,Some Random Commen with Id 58
59,15,7,67,4,Some Random Commen with Id 59
60,15,7,155,0,Some Random Commen with Id 60
61,16,9,68,6,Some Random Commen with Id 61
62,16,9,196,5,Some Random Commen with Id 62
63,16,9,125,1,Some Random Commen with Id 63
64,16,9,106,5,Some Random Commen with Id 64
65,17,5,74,2,Some Random Commen with Id 65
66,17,5,117,4,Some Random Commen with Id 66
67,17,5,162,1,Some Random Commen with Id 67
68,18,2,115,9,Some Random Commen with Id 68
69,20,5,34,6,Some Random Commen with Id 69
70,20,5,65,4,Some Random Commen with Id 70
71,20,5,171,8,Some Random Commen with Id 71
72,20,5,77,2,Some Random Commen with Id 72
73,20,5,93,3,Some Random Commen with Id 73
74,20,5,118,5,Some Random Commen with Id 74
75,20,5,105,0,Some Random Commen with Id 75
76,21,0,95,3,Some Random Commen with Id 76
77,21,0,104,7,Some Random Commen with Id 77
78,21,0,25,7,Some Random Commen with Id 78
79,21,0,129,2,Some Random Commen with Id 79
80,21,0,5,8,Some Random Commen with Id 80
81,21,0,157,1,Some Random Commen with Id 81
82,21,0,112,7,Some Random Commen with Id 82
83,21,0,22,9,Some Random Commen with Id 83
84,21,0,125,6,Some Random Commen with Id 84
85,22,0,36,4,Some Random Commen with Id 85
86,22,0,40,9,Some Random Commen with Id 86
87,22,0,120,0,Some Random Commen with Id 87
88,22,0,90,1,Some Random Commen with Id 88
89,23,5,161,3,Some Random Commen with Id 89
90,23,5,184,2,Some Random Commen with Id 90
91,23,5,177,0,Some Random Commen with Id 91
92,23,5,57,4,Some Random Commen with Id 92
93,23,5,16,5,Some Random Commen with Id 93
94,23,5,66,4,Some Random Commen with Id 94
95,23,5,139,8,Some Random Commen with Id 95
96,24,2,102,6,Some Random Commen with Id 96
97,24,2,149,5,Some Random Commen with Id 97
98,24,2,195,0,Some Random Commen with Id 98
99,24,2,188,8,Some Random Commen with Id 99
100,24,2,140,2,Some Random Commen with Id 100
101,24,2,49,2,Some Random Commen with Id 101
102,24,2,155,5,Some Random Commen with Id 102
103,24,2,192,3,Some Random Commen with Id 103
104,24,2,126,9,Some Random Commen with Id 104
105,25,7,104,8,Some Random Commen with Id 105
106,25,7,105,6,Some Random Commen with Id 106
107,25,7,138,1,Some Random Commen with Id 107
108,25,7,16,4,Some Random Commen with Id 108
109,25,7,169,4,Some Random Commen with Id 109
110,25,7,158,3,Some Random Commen with Id 110
111,25,7,105,8,Some Random Commen with Id 111
112,25,7,7,3,Some Random Commen with Id 112
113,26,8,70,4,Some Random Commen with Id 113
114,26,8,77,9,Some Random Commen with Id 114
115,26,8,53,5,Some Random Commen with Id 115
116,26,8,134,5,Some Random Commen with Id 116
117,26,8,50,5,Some Random Commen with Id 117
118,27,7,69,6,Some Random Commen with Id 118
119,28,6,85,8,Some Random Commen with Id 119
120,28,6,116,1,Some Random Commen with Id 120
121,28,6,3,4,Some Random Commen with Id 121
122,28,6,51,7,Some Random Commen with Id 122
123,28,6,15,4,Some Random Commen with Id 123
124,29,1,102,3,Some Random Commen with Id 124
125,29,1,89,9,Some Random Commen with Id 125
126,29,1,173,3,Some Random Commen with Id 126
127,29,1,47,7,Some Random Commen with Id 127
128,29,1,7,9,Some Random Commen with Id 128
129,29,1,167,1,Some Random Commen with Id 129
130,29,1,178,7,Some Random Commen with Id 130
131,30,6,80,4,Some Random Commen with Id 131
132,30,6,91,3,Some Random Commen with Id 132
133,30,6,194,7,Some Random Commen with Id 133
134,30,6,192,1,Some Random Commen with Id 134
135,30,6,78,8,Some Random Commen with Id 135
136,30,6,92,0,Some Random Commen with Id 136
137,30,6,89,5,Some Random Commen with Id 137
138,31,7,183,7,Some Random Commen with Id 138
139,31,7,115,8,Some Random Commen with Id 139
140,31,7,87,5,Some Random Commen with Id 140
141,31,7,175,7,Some Random Commen with Id 141
142,32,6,122,0,Some Random Commen with Id 142
143,32,6,150,2,Some Random Commen with Id 143
144,32,6,122,1,Some Random Commen with Id 144
145,32,6,32,2,Some Random Commen with Id 145
146,32,6,175,6,Some Random Commen with Id 146
147,32,6,170,3,Some Random Commen with Id 147
148,34,0,129,1,Some Random Commen with Id 148
149,34,0,103,2,Some Random Commen with Id 149
150,34,0,182,0,Some Random Commen with Id 150
151,34,0,62,5,Some Random Commen with Id 151
152,36,3,136,3,Some Random Commen with Id 152
153,36,3,72,2,Some Random Commen with Id 153
154,36,3,43,3,Some Random Commen with Id 154
155,36,3,161,1,Some Random Commen with Id 155
156,36,3,184,3,Some Random Commen with Id 156
157,36,3,62,0,Some Random Commen with Id 157
158,36,3,34,6,Some Random Commen with Id 158
159,37,8,67,3,Some Random Commen with Id 159
160,37,8,22,1,Some Random Commen with Id 160
161,37,8,102,9,Some Random Commen with Id 161
162,37,8,143,2,Some Random Commen with Id 162
163,37,8,10,4,Some Random Commen with Id 163
164,37,8,86,3,Some Random Commen with Id 164
165,37,8,89,4,Some Random Commen with Id 165
166,38,0,31,8,Some Random Commen with Id 166
167,38,0,182,8,Some Random Commen with Id 167
168,38,0,5,6,Some Random Commen with Id 168
169,38,0,71,6,Some Random Commen with Id 169
170,38,0,52,5,Some Random Commen with Id 170
171,38,0,41,6,Some Random Commen with Id 171
172,38,0,167,4,Some Random Commen with Id 172
173,38,0,62,9,Some Random Commen with Id 173
174,39,2,99,7,Some Random Commen with Id 174
175,39,2,199,4,Some Random Commen with Id 175
176,39,2,52,2,Some Random Commen with Id 176
177,39,2,87,7,Some Random Commen with Id 177
178,39,2,131,7,Some Random Commen with Id 178
179,39,2,61,3,Some Random Commen with Id 179
